ID	LineX	LenhSX	MaHang	SPOID	PO	DauSizeID	DauSize	ColorID	MaMau	SizeID	Size	SPLoi	IdNhomSPLoi	SLLoi	MaCongDoan	Code	LoaiLoi	PageX	PageY	NgayKiem	NgayKiemLai	NhanVienKiem	IsQC	LanKiem	StatusHT	Module	NgayHT	NoiDung	HanhDong	Image	Results
1	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	6.6	B7	2	0	0	2025-12-19 10:59:22.270	NULL	QA	0	1	2	1	2025-12-19 10:59:37.273	 	 		NULL
2	102	137	NAGAOKA Vorunteer corps PT	137|DH_146|VK05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	2.4	A1	2	0	0	2025-12-19 13:59:05.147	NULL	QA	0	1	2	1	2025-12-19 14:06:32.423	 Aaa	 Tra chuyen	ec4fb5f9a841484097d156987f0042ce.png	NULL
3	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	6.6	A21	3	0	0	2025-12-23 23:10:02.177	NULL	QA	0	2	2	1	2025-12-23 23:10:14.713	 	 		NULL
4	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	2	6.1	A12	2	0	0	2025-12-26 13:27:58.370	NULL	QA	0	6	2	1	2025-12-26 13:30:36.950	 	 	c35cc4c9b43548e3a0e88eb08ee7b520.png	NULL
5	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	1	2	6.1	A12	2	0	0	2025-12-26 13:27:58.370	NULL	QA	0	6	2	1	2025-12-26 13:30:36.950	 	 	d4fca4e3ebe64cb48cc394aa5d72e685.png	NULL
6	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	2	4	6.13	A16	2	0	0	2025-12-26 13:29:55.397	NULL	QA	0	6	2	1	2025-12-26 13:30:36.950	Đoc theo paget	 Tái chế	916bee259fe14057b9d1f762f0b8603a.png	NULL
7	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	2	4	6.13	A16	2	0	0	2025-12-26 13:29:55.397	NULL	QA	0	6	2	1	2025-12-26 13:30:36.950	Đoc theo paget	 Tái chế	c63c09dbe5ad41c598135781070c49f3.png	NULL
8	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	2	4	6.13	A16	2	0	0	2025-12-26 13:29:55.397	NULL	QA	0	6	2	1	2025-12-26 13:30:36.950	Đoc theo paget	 Tái chế	c9bec282958640c6bec2804fc740bc84.png	NULL
9	101	340	0088 521 04 V0.0	340|DH_398|5010553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6	2	4	6.13	A16	2	0	0	2025-12-26 13:29:55.397	NULL	QA	0	6	2	1	2025-12-26 13:30:36.950	Đoc theo paget	 Tái chế	a71d5299a8794f3a80453b470fb46b32.png	NULL
10	109	331	EA25-G_PR2YG	331|DH_365|106717881	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	1.1	A1	3	0	0	2025-12-30 08:22:34.430	NULL	QA	0	1	2	1	2025-12-30 08:22:48.737	Mấy cổ bỏ mũi	 Trà sữa	6258db42044d44aea9ba8ed87d0558bf.png	NULL
11	105	305	111078-120-H3R6	305|DH_264|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	1.12	A30	2	0	0	2025-12-31 09:45:38.053	NULL	QA	0	1	1	1	2026-01-03 08:23:29.207	 	 		NULL
12	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	4	2.1	A5	2	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế		NULL
13	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	4	2.12	A4	3	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế		NULL
14	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	4	2.1	D1	3	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế	3e7492c192754165b6fc824b136b0bbf.png|230d8fc468a741c0937441eb66f4f6ff.png|9b84e43183f94c848fd3403d77f816df.png	NULL
15	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	1	4	2.1	A5	2	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế		NULL
16	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	1	4	2.12	A4	3	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế		NULL
17	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	1	4	2.1	D1	3	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế	3f75764c187646ed87388b88518a8370.png|39bebc8136f644f2b84b4c928819f8d3.png|3c96ad1ce6214b92a447f8d11fb811c8.png	NULL
18	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	1	4	2.1	A5	2	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế		NULL
19	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	1	4	2.12	A4	3	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế		NULL
20	105	274	122023-120-R6H3	274|DH_265|5010457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	1	4	2.1	D1	3	0	0	2026-01-06 13:14:23.773	NULL	QA	0	1	2	1	2026-01-06 13:14:36.947	 1.tr 1/trả  1/Đúp lưng xì lót 2/20 2/ Diễu dk ống sụp mí lót 1/20 3/sót phấn 5/20 	 Yêu cầu tái chế	b851773b0ef6435d8279e268e61a03af.png|22bcdae3888f475fa163db3cfed91eac.png|d7bd606795a849bb8ec92e8223b04081.png	NULL
